time[s], delta_E_total[W/m^3], delta_E_cx[W/m^3], delta_E_el[W/m^3]
  1.500000E-006, -1.866060E+006,  1.211016E+006, -3.077077E+006
  1.510000E-006,  9.610090E+004,  1.702185E+006, -1.606084E+006
  1.520000E-006, -3.553835E+006, -3.107135E+006, -4.466996E+005
  1.530000E-006,  1.468431E+006,  8.411071E+005,  6.273238E+005
  1.540000E-006,  7.225047E+006,  7.471132E+006, -2.460847E+005
  1.550000E-006, -3.561237E+006,  3.447939E+005, -3.906031E+006
  1.560000E-006,  2.740929E+005,  4.862865E+005, -2.121936E+005
  1.570000E-006,  2.400722E+006,  7.216988E+005,  1.679023E+006
  1.580000E-006,  4.805423E+006,  3.935634E+006,  8.697887E+005
  1.590000E-006,  3.869301E+006,  2.248635E+006,  1.620666E+006
  1.600000E-006,  2.570051E+006,  1.185556E+006,  1.384496E+006
  1.610000E-006, -3.918908E+006,  8.870949E+005, -4.806003E+006
  1.620000E-006, -8.458562E+005,  4.687497E+005, -1.314606E+006
  1.630000E-006, -3.234358E+006, -3.117650E+006, -1.167073E+005
  1.640000E-006, -2.640901E+005, -5.182659E+005,  2.541758E+005
  1.650000E-006,  3.291468E+006,  1.423319E+006,  1.868149E+006
  1.660000E-006, -1.019379E+006, -1.647425E+006,  6.280465E+005
  1.670000E-006, -1.458440E+006, -7.193285E+005, -7.391120E+005
  1.680000E-006, -1.124718E+006, -1.065659E+006, -5.905903E+004
  1.690000E-006, -1.025849E+006, -5.455406E+005, -4.803081E+005
  1.700000E-006,  1.287557E+006, -4.406078E+005,  1.728165E+006
  1.710000E-006, -2.923219E+006,  9.770688E+004, -3.020926E+006
  1.720000E-006, -2.614853E+004, -4.558347E+004,  1.943493E+004
  1.730000E-006,  1.524656E+006, -1.523057E+006,  3.047713E+006
  1.740000E-006, -2.899742E+006, -1.076333E+006, -1.823409E+006
  1.750000E-006,  1.849298E+006,  2.700958E+006, -8.516604E+005
  1.760000E-006,  4.212500E+006,  4.614414E+006, -4.019141E+005
  1.770000E-006,  1.394861E+006,  1.596989E+006, -2.021280E+005
  1.780000E-006,  1.630554E+006,  1.859941E+006, -2.293871E+005
  1.790000E-006,  3.317161E+006,  3.051590E+006,  2.655711E+005
  1.800000E-006,  1.525094E+006, -2.388900E+005,  1.763984E+006
  1.810000E-006,  2.353742E+006, -5.381004E+004,  2.407552E+006
  1.820000E-006, -2.346562E+006, -2.650873E+006,  3.043110E+005
  1.830000E-006, -3.142102E+006, -1.546494E+006, -1.595608E+006
  1.840000E-006,  8.850291E+005,  1.875587E+006, -9.905575E+005
  1.850000E-006,  4.276435E+006,  2.409049E+006,  1.867386E+006
