# time[s], delta_E_avg[eV], delta_E_cx_avg[eV], delta_E_el_avg[eV]
  2.010000E-006,  1.259490E-002,  1.326177E-002, -6.668640E-004
  2.020000E-006, -5.373629E-003,  2.990773E-003, -8.364401E-003
  2.030000E-006, -6.549673E-005, -4.355581E-003,  4.290084E-003
  2.040000E-006,  7.134641E-004,  7.906844E-004, -7.722026E-005
  2.050000E-006, -5.084651E-003,  1.583016E-003, -6.667667E-003
  2.060000E-006,  2.018646E-002,  2.673221E-002, -6.545745E-003
  2.070000E-006, -3.353476E-003,  2.905070E-003, -6.258547E-003
  2.080000E-006, -1.440201E-002, -9.610286E-003, -4.791727E-003
  2.090000E-006,  8.182983E-004,  4.136336E-003, -3.318037E-003
  2.100000E-006, -2.928995E-003, -3.041381E-003,  1.123857E-004
  2.110000E-006, -1.660313E-002, -1.226944E-002, -4.333691E-003
  2.120000E-006, -4.419114E-004, -3.798321E-003,  3.356410E-003
  2.130000E-006,  9.468147E-003,  4.501448E-003,  4.966699E-003
  2.140000E-006,  1.544655E-002,  1.187688E-002,  3.569666E-003
  2.150000E-006, -9.467833E-003, -9.684973E-003,  2.171395E-004
  2.160000E-006, -2.331144E-002, -1.625061E-002, -7.060834E-003
  2.170000E-006, -7.301893E-004,  8.220174E-003, -8.950363E-003
  2.180000E-006, -9.037552E-003, -2.787787E-003, -6.249765E-003
  2.190000E-006, -3.033070E-003, -2.157242E-003, -8.758283E-004
  2.200000E-006,  6.005552E-003,  4.998912E-003,  1.006640E-003
  2.210000E-006, -4.149386E-003,  9.721337E-004, -5.121520E-003
  2.220000E-006,  5.595863E-003,  5.145655E-003,  4.502078E-004
  2.230000E-006, -8.312497E-003, -8.522968E-003,  2.104714E-004
  2.240000E-006,  1.288969E-002,  9.431946E-003,  3.457741E-003
  2.250000E-006, -1.111984E-003,  1.458199E-003, -2.570183E-003
  2.260000E-006, -6.845495E-003, -3.673536E-003, -3.171959E-003
  2.270000E-006,  2.091712E-002,  1.489317E-002,  6.023949E-003
  2.280000E-006, -7.759220E-003,  8.473022E-004, -8.606522E-003
  2.290000E-006,  5.399810E-003,  6.818997E-003, -1.419186E-003
  2.300000E-006,  4.948488E-003, -4.278926E-003,  9.227414E-003
  2.310000E-006, -4.569890E-003, -7.047962E-003,  2.478072E-003
  2.320000E-006,  1.557153E-002,  7.692670E-003,  7.878865E-003
  2.330000E-006, -1.915682E-003, -3.964698E-003,  2.049017E-003
  2.340000E-006, -8.153440E-003, -7.246343E-004, -7.428806E-003
  2.350000E-006,  1.472679E-002,  1.043846E-002,  4.288330E-003
  2.360000E-006, -2.633673E-003, -5.542852E-005, -2.578245E-003
  2.370000E-006, -8.458003E-003, -8.350294E-003, -1.077093E-004
  2.380000E-006,  3.788258E-003,  3.663783E-003,  1.244743E-004
  2.390000E-006,  5.458835E-004, -4.518567E-003,  5.064450E-003
  2.400000E-006, -3.909056E-004, -1.199984E-003,  8.090783E-004
  2.410000E-006,  2.994899E-003, -6.435454E-004,  3.638444E-003
  2.420000E-006, -3.508378E-004, -1.194627E-003,  8.437890E-004
  2.430000E-006,  6.202984E-004, -2.472691E-003,  3.092990E-003
  2.440000E-006,  1.882744E-002,  2.565113E-002, -6.823691E-003
  2.450000E-006, -4.968803E-003, -1.012582E-002,  5.157014E-003
  2.460000E-006,  1.557767E-003,  6.001437E-003, -4.443670E-003
  2.470000E-006,  1.430723E-002,  5.115305E-003,  9.191924E-003
  2.480000E-006,  7.830485E-003,  9.518745E-003, -1.688260E-003
  2.490000E-006,  2.455029E-003,  1.154484E-002, -9.089811E-003
  2.500000E-006, -6.377880E-003,  3.499056E-004, -6.727785E-003
  2.510000E-006,  1.285139E-002,  1.367002E-002, -8.186383E-004
  2.520000E-006, -9.621263E-003,  4.560598E-005, -9.666869E-003
  2.530000E-006,  1.552680E-002,  1.740779E-002, -1.880990E-003
  2.540000E-006,  1.635465E-003, -5.612153E-003,  7.247618E-003
  2.550000E-006, -2.059710E-002, -1.692269E-002, -3.674412E-003
  2.560000E-006, -2.860826E-003, -3.697985E-003,  8.371587E-004
  2.570000E-006, -1.568491E-002, -5.927007E-003, -9.757900E-003
  2.580000E-006, -1.779161E-002, -1.090105E-002, -6.890559E-003
  2.590000E-006, -1.359684E-002, -9.692096E-003, -3.904744E-003
  2.600000E-006, -5.997815E-003, -4.298694E-003, -1.699122E-003
  2.610000E-006, -1.995946E-003,  4.890017E-004, -2.484948E-003
  2.620000E-006, -8.039609E-003, -5.574415E-003, -2.465193E-003
  2.630000E-006,  1.516449E-002,  9.000859E-003,  6.163628E-003
  2.640000E-006,  1.819711E-004, -9.058218E-004,  1.087793E-003
  2.650000E-006,  3.696370E-004,  2.494707E-003, -2.125070E-003
  2.660000E-006,  8.598694E-003,  9.361470E-003, -7.627761E-004
  2.670000E-006, -5.756524E-003,  1.320621E-003, -7.077145E-003
  2.680000E-006, -1.923073E-002, -1.438113E-002, -4.849599E-003
  2.690000E-006, -8.825846E-003, -4.562188E-003, -4.263658E-003
  2.700000E-006,  6.935533E-003,  8.073251E-003, -1.137717E-003
  2.710000E-006, -3.629323E-003,  7.566324E-003, -1.119565E-002
  2.720000E-006, -5.615063E-003, -2.070060E-003, -3.545003E-003
  2.730000E-006, -6.058633E-003, -1.197303E-003, -4.861330E-003
  2.740000E-006,  1.613138E-002,  2.096768E-002, -4.836299E-003
  2.750000E-006,  6.739456E-003,  4.750798E-003,  1.988658E-003
  2.760000E-006,  1.297718E-002,  1.599610E-002, -3.018919E-003
  2.770000E-006, -1.255028E-003,  2.436874E-003, -3.691902E-003
  2.780000E-006,  5.630931E-003,  8.155635E-003, -2.524704E-003
  2.790000E-006, -8.964922E-003,  6.026669E-003, -1.499159E-002
  2.800000E-006,  1.063291E-002,  7.513292E-003,  3.119618E-003
  2.810000E-006, -1.136894E-003, -2.324967E-003,  1.188074E-003
  2.820000E-006, -4.660656E-003, -4.573515E-003, -8.714064E-005
  2.830000E-006,  7.761267E-003,  6.183795E-003,  1.577472E-003
  2.840000E-006, -2.857461E-003,  9.610511E-004, -3.818513E-003
  2.850000E-006, -3.418300E-005,  9.183682E-004, -9.525512E-004
  2.860000E-006,  5.797824E-003,  4.674976E-003,  1.122848E-003
